date,close,open,high,low,changePercent
06-04-2021,126.21,126.5,127.13,125.65,0.0025
07-04-2021,127.9,125.83,127.92,125.14,0.0134
08-04-2021,130.36,128.95,130.39,128.52,0.0192
09-04-2021,132.995,129.8,133.04,129.47,0.0202
12-04-2021,131.24,132.52,132.85,130.63,-0.0132
13-04-2021,134.43,132.44,134.66,131.93,0.0243
14-04-2021,132.03,134.94,135,131.655,-0.0179
15-04-2021,134.5,133.82,135,133.64,0.0187
16-04-2021,134.16,134.3,134.67,133.28,-0.0025
19-04-2021,134.84,133.51,135.47,133.34,0.0051
20-04-2021,133.11,135.02,135.53,131.81,-0.0128
21-04-2021,133.5,132.36,133.75,131.3001,0.0029
22-04-2021,131.94,133.04,134.15,131.41,-0.0117
23-04-2021,134.32,132.16,135.12,132.16,0.018
26-04-2021,134.72,134.83,135.06,133.56,0.003
27-04-2021,134.39,135.01,135.41,134.11,-0.0024
28-04-2021,133.58,134.31,135.02,133.08,-0.006
29-04-2021,133.48,136.47,137.07,132.45,-0.0007
30-04-2021,131.46,131.78,133.56,131.065,-0.0151
03-05-2021,132.54,132.04,134.07,131.83,0.0082
04-05-2021,127.85,131.19,131.4899,126.7,-0.0354
05-05-2021,128.1,129.2,130.45,127.97,0.002
06-05-2021,129.74,127.89,129.75,127.13,0.0128
07-05-2021,130.21,130.85,131.2582,129.475,0.0036
10-05-2021,126.85,129.41,129.54,126.81,-0.0258
11-05-2021,125.91,123.5,126.27,122.77,-0.0074
12-05-2021,122.77,123.4,124.64,122.25,-0.0249
13-05-2021,124.97,124.58,126.15,124.26,0.0179
14-05-2021,127.45,126.25,127.89,125.85,0.0198
17-05-2021,126.27,126.82,126.93,125.17,-0.0093
18-05-2021,124.85,126.56,126.99,124.78,-0.0112
19-05-2021,124.69,123.16,124.915,122.86,-0.0013
20-05-2021,127.31,125.23,127.72,125.1,0.021
21-05-2021,125.43,127.82,128,125.21,-0.0148
24-05-2021,127.1,126.01,127.94,125.94,0.0133
25-05-2021,126.9,127.82,128.32,126.32,-0.0016
26-05-2021,126.85,126.955,127.39,126.42,-0.0004
27-05-2021,125.28,126.44,127.64,125.08,-0.0124
28-05-2021,124.61,125.57,125.8,124.55,-0.0053
01-06-2021,124.28,125.08,125.35,123.94,-0.0026
02-06-2021,125.06,124.28,125.24,124.05,0.0063
03-06-2021,123.54,124.68,124.85,123.13,-0.0122
04-06-2021,125.89,124.07,126.16,123.85,0.019
07-06-2021,125.9,126.17,126.32,124.8321,0.0001
08-06-2021,126.74,126.6,128.46,126.2101,0.0067
09-06-2021,127.13,127.21,127.75,126.52,0.0031
